Тик,Уик,Количество избирателей,Полученные бюллетени,Выданные бюллетени в помещении,Выданные бюллетени вне помещения,Погашенные бюллетени,Число бюллетеней в переносных,Число бюллетеней в стационарных,Недействительные бюллетени,Действительные бюллетени,Утраченные бюллетени,Неучтенные бюллетени,Амосов,Беглов,Тихонова
5,1538,1875,1700,572,2,1126,2,572,17,557,0,0,141,226,190
5,1539,1022,2000,673,333,994,333,671,3,1001,0,0,67,845,89
5,1540,1114,1500,862,234,404,234,862,19,1077,0,0,82,822,173
6,1058,1919,1500,481,9,1010,8,480,8,480,0,0,87,320,73
6,1059,2247,2000,589,15,1396,15,589,19,585,0,0,102,383,100
6,1060,1957,1500,485,13,1002,13,485,16,482,0,0,91,318,73
6,1061,1865,1500,489,7,1004,7,482,15,474,0,0,68,298,108
6,1062,2039,2000,517,15,1468,15,516,14,517,0,0,84,330,103
6,1063,1804,1500,395,3,1102,3,395,15,383,0,0,60,240,83
6,1064,1959,1500,456,8,1036,8,456,19,445,0,0,89,264,92
6,1065,1838,1500,476,25,999,25,473,18,480,0,0,68,310,102
6,1066,1850,1800,507,38,1255,38,502,9,531,0,0,65,376,90
6,1067,1752,1500,476,4,1020,4,475,9,470,0,0,75,324,71
6,1068,1061,1000,295,6,699,6,295,7,294,0,0,58,186,50
6,1069,2182,2000,549,8,1443,8,549,18,539,0,0,84,348,107
6,1070,1659,1500,385,8,1107,8,385,9,384,0,0,69,249,66
6,1071,2156,2000,465,3,1532,3,464,9,458,0,0,99,258,101
6,1072,2197,2000,479,7,1514,7,479,5,481,0,0,96,281,104
6,1073,1730,1500,469,6,1025,6,468,11,463,0,0,106,278,79
6,1074,1724,1500,410,5,1085,5,408,12,401,0,0,73,251,77
6,1075,1822,1500,450,3,1047,3,450,7,446,0,0,89,283,74
6,1076,1893,1500,507,7,986,7,507,15,499,0,0,80,330,89
6,1077,2539,2000,633,8,1359,8,633,13,628,0,0,110,415,103
6,1078,1849,1500,391,3,1106,3,391,13,381,0,0,72,231,78
6,1079,1818,1500,444,19,1037,19,444,12,451,0,0,60,313,78
6,1080,1985,2000,548,10,1442,10,547,23,534,0,0,84,342,108
6,1081,2215,2000,620,5,1375,5,620,6,619,0,0,93,418,108
6,1082,2193,2000,551,14,1435,14,551,9,556,0,0,84,370,102
6,1085,4364,3000,953,4,2043,4,952,21,935,0,0,165,523,247
6,1086,1920,1500,495,9,996,9,495,13,491,0,0,78,320,93
6,1087,2146,2000,488,13,1499,12,483,18,477,0,0,76,318,83
6,1088,2398,2000,1421,4,575,4,1416,64,1356,0,0,221,776,359
6,1089,1484,1500,327,11,1162,11,327,7,331,0,0,43,230,58
6,1090,1500,1200,325,1,874,1,325,15,311,0,0,50,202,59
6,1091,1713,1500,432,8,1060,8,431,16,423,0,0,46,295,82
6,1092,2079,2000,523,13,1464,13,523,19,517,0,0,74,351,92
6,1093,2441,2000,571,6,1423,6,570,11,565,0,0,103,361,101
6,1094,2532,2500,652,14,1834,14,649,10,653,0,0,127,336,190
6,1095,1968,2000,519,8,1473,8,518,17,509,0,0,83,339,87
6,1096,1909,1500,451,16,1033,16,451,14,453,0,0,70,301,82
6,1097,1839,1500,438,13,1049,13,438,8,443,0,0,74,284,85
6,1098,1995,2000,542,8,1450,8,542,12,538,0,0,95,360,83
6,1099,2696,2500,741,18,1741,18,741,20,739,0,0,132,498,109
6,1100,1671,1500,396,6,1098,6,396,16,386,0,0,64,246,76
6,1101,1825,1500,455,9,1036,9,455,12,452,0,0,65,292,95
6,1102,1866,1500,446,8,1046,8,446,13,441,0,0,72,285,84
6,1103,2185,2000,484,8,1508,8,484,12,480,0,0,64,323,93
6,1104,1836,1500,480,7,1013,7,479,14,472,0,0,83,296,93
6,1105,2174,2000,501,9,1490,9,501,6,504,0,0,79,347,78
6,1106,2203,2000,542,15,1443,15,542,6,551,0,0,96,370,85
6,1107,2287,2000,490,9,1501,9,490,11,488,0,0,61,335,92
6,1108,2301,2000,595,10,1395,10,595,18,587,0,0,79,389,119
6,1109,2156,2100,499,5,1596,5,499,9,495,0,0,85,321,89
6,1110,2253,2000,448,6,1546,6,448,11,443,0,0,79,289,75
6,1111,2007,1500,484,6,1010,6,484,6,484,0,0,89,319,76
6,1112,2943,2500,740,3,1757,3,740,31,712,0,0,153,385,174
6,1113,1832,1500,481,4,1015,4,481,15,470,0,0,90,300,80
6,1114,2009,1500,463,9,1028,9,463,9,463,0,0,65,320,78
6,1115,2228,2000,549,6,1445,6,549,8,547,0,0,82,377,88
6,1116,2371,2000,636,8,1356,8,636,9,635,0,0,130,380,125
6,1117,2333,2000,579,18,1403,18,579,9,588,0,0,70,418,100
6,1118,1816,1500,394,6,1100,6,394,12,388,0,0,64,254,70
6,1119,2118,2000,543,17,1440,17,543,20,540,0,0,109,331,100
6,1120,2166,2000,529,3,1468,3,529,15,517,0,0,80,361,76
6,1121,2138,2000,549,18,1433,18,549,13,554,0,0,88,363,103
6,1122,1802,1500,409,5,1086,5,409,8,406,0,0,48,269,89
6,1123,2145,2000,405,3,1592,3,405,10,398,0,0,64,246,88
6,1124,2714,2500,637,3,1860,3,637,15,625,0,0,184,283,158
6,1125,1852,1500,390,8,1102,8,390,12,386,0,0,55,254,77
6,1126,1923,1500,492,10,998,10,492,21,481,0,0,73,314,94
6,1127,2430,2000,605,17,1378,17,605,7,615,0,0,86,412,117
6,1128,2704,2500,541,7,1952,7,541,19,529,0,0,109,307,113
6,1129,2208,2000,558,3,1439,3,555,10,548,0,0,106,311,131
6,1130,3058,3000,822,7,2171,7,821,18,810,0,0,138,466,206
6,1131,2804,2500,729,3,1768,3,729,14,718,0,0,131,415,172
6,1132,3064,3000,743,4,2253,4,742,24,722,0,0,121,418,183
6,1133,1674,1500,383,17,1100,17,383,7,393,0,0,72,234,87
6,1134,2617,2500,519,9,1972,9,519,9,519,0,0,84,320,115
6,1135,3814,3000,781,4,2215,4,781,12,773,0,0,215,343,215
6,1136,3619,3000,896,3,2101,3,893,22,874,0,0,241,402,231
6,1137,3010,2500,688,0,1812,0,687,13,674,0,0,170,323,181
6,1138,1817,1500,443,2,1055,2,443,12,433,0,0,115,219,99
6,1139,1848,1500,317,3,1180,3,317,10,310,0,0,53,186,71
7,633,2704,2000,1169,11,820,11,1004,32,983,0,0,95,785,103
7,634,2487,2000,1047,7,946,7,1047,10,1044,0,0,80,869,95
7,635,2090,1500,814,7,679,7,814,15,806,0,0,66,670,70
7,636,2075,1500,540,4,956,4,540,12,532,0,0,105,330,97
7,637,2323,2000,803,7,1190,7,800,8,799,0,0,77,625,97
7,638,2234,2000,940,4,1056,4,934,12,926,0,0,100,757,69
7,639,2474,2000,825,21,1154,21,825,17,829,0,0,75,651,103
7,640,2421,2000,1010,25,965,25,981,11,995,0,0,67,852,76
7,641,1839,1500,789,4,707,4,785,51,738,0,0,102,563,73
7,642,2479,2000,971,19,1010,19,971,22,968,0,0,39,804,125
7,643,2828,2000,1114,1,885,1,994,20,975,0,0,76,815,84
7,644,2001,1500,707,6,787,6,695,10,691,0,0,68,554,69
7,757,2153,1500,533,6,961,6,532,20,518,0,0,72,333,113
7,758,1960,1500,503,11,986,11,502,10,503,0,0,88,316,99
7,759,1317,1000,364,10,626,10,364,10,364,0,0,69,242,53
7,760,1873,1500,480,4,1016,4,480,7,477,0,0,96,297,84
7,761,2031,1500,544,10,946,10,544,16,538,0,0,95,331,112
7,762,2733,2000,649,12,1339,12,649,30,631,0,0,90,389,152
7,763,2192,1500,629,16,855,16,629,15,630,0,0,100,419,111
7,764,1065,1000,287,6,707,6,287,17,276,0,0,33,188,55
7,765,2607,2000,616,8,1376,8,615,15,608,0,0,112,376,120
7,766,2380,2000,667,12,1321,12,667,21,658,0,0,103,435,120
7,767,2215,2000,606,5,1389,5,605,21,589,0,0,102,361,126
7,768,2053,2000,615,7,1378,7,612,20,599,0,0,115,347,137
7,769,2866,2000,786,8,1206,8,778,14,772,0,0,135,444,193
7,770,1389,1000,339,11,650,11,339,2,348,0,0,52,218,78
7,771,1120,1000,283,2,715,2,283,8,277,0,0,59,157,61
7,772,2082,1500,494,13,993,13,494,20,487,0,0,87,290,110
7,773,2013,1500,497,9,994,9,497,15,491,0,0,79,309,103
7,774,1829,1500,444,7,1049,7,442,13,436,0,0,79,260,97
7,775,2363,2000,570,5,1425,5,570,16,559,0,0,116,342,101
7,776,2300,2000,664,8,1328,8,664,24,648,0,0,121,390,137
7,777,1725,1500,468,4,1028,4,466,10,460,0,0,95,282,83
7,778,1603,1500,448,7,1045,7,443,9,441,0,0,89,257,95
7,779,1542,1500,371,5,1124,5,369,12,362,0,0,58,236,68
7,780,1615,1500,408,10,1082,10,408,8,410,0,0,48,289,73
7,781,2351,2000,633,18,1349,18,633,25,626,0,0,103,418,105
7,782,1380,1000,345,3,652,3,345,9,339,0,0,35,244,60
7,783,2366,2000,580,13,1407,13,580,12,581,0,0,86,374,121
7,784,1845,1500,480,6,1014,6,480,14,472,0,0,75,312,85
7,785,2042,2000,530,14,1456,14,526,11,529,0,0,94,330,105
7,786,1244,1000,332,14,654,14,332,3,343,0,0,54,222,67
7,787,1851,1500,612,16,872,16,612,15,613,0,0,124,383,106
7,788,2542,2000,790,5,1205,5,788,21,772,0,0,175,467,130
7,789,1979,1500,470,11,1019,11,468,10,469,0,0,94,289,86
7,790,2281,2000,667,10,1323,10,667,17,660,0,0,135,417,108
7,791,2384,2000,623,7,1370,7,623,25,605,0,0,116,383,106
7,792,1959,1500,515,11,974,11,515,21,505,0,0,104,315,86
7,793,2205,2000,541,27,1432,27,540,9,558,0,0,102,336,120
7,794,1830,1500,448,3,1049,3,441,11,433,0,0,92,272,69
7,795,2445,2000,580,13,1407,13,580,21,572,0,0,109,366,97
7,796,2667,2000,624,3,1373,3,621,14,610,0,0,109,373,128
7,797,1955,1500,442,7,1051,7,442,14,435,0,0,74,282,79
7,798,2013,1500,495,6,999,6,495,13,488,0,0,107,300,81
7,799,1960,1500,393,3,1104,3,393,7,389,0,0,69,268,52
7,800,2164,2000,604,2,1394,2,604,3,603,0,0,81,435,87
7,801,1687,1500,543,5,952,5,542,21,526,0,0,73,364,89
7,802,2388,2000,692,11,1297,11,650,20,641,0,0,127,404,110
7,803,2248,2000,583,2,1415,2,569,16,555,0,0,113,347,95
7,804,2252,2000,607,88,1305,88,603,20,671,0,0,106,479,86
7,805,1868,1500,464,21,1015,21,464,9,476,0,0,60,337,79
7,806,2387,2000,712,4,1284,4,712,18,698,0,0,91,497,110
7,807,2249,2000,629,28,1343,28,628,8,648,0,0,86,467,95
7,808,1993,1500,480,20,1000,6,469,15,460,0,0,70,315,75
7,809,2245,2000,613,9,1378,9,613,10,612,0,0,124,374,114
7,810,2619,2000,771,8,1221,8,771,28,751,0,0,135,484,132
7,811,2677,2000,741,6,1253,6,736,22,720,0,0,134,440,146
7,812,2133,1500,594,6,900,6,594,0,600,0,0,48,501,51
7,813,1851,1500,496,4,1000,4,496,15,485,0,0,69,333,83
7,814,2335,2000,622,3,1375,3,622,21,604,0,0,147,321,136
7,815,275,241,207,23,11,23,207,8,222,0,0,16,173,33
8,1674,942,650,300,20,330,20,299,21,298,0,0,52,203,43
8,1675,815,600,273,7,320,7,273,12,268,0,0,43,179,46
8,1676,1990,1500,745,10,745,10,745,27,728,0,0,115,496,117
8,1677,1485,1100,560,29,511,29,560,26,563,0,0,97,363,103
8,1678,550,400,174,7,219,7,174,7,174,0,0,24,131,19
8,1679,1672,1200,623,12,565,12,622,35,599,0,0,94,424,81
8,1680,1864,1300,666,42,592,42,663,35,670,0,0,89,474,107
8,1681,224,280,140,71,69,71,140,3,208,0,0,5,198,5
8,1682,2661,2000,850,14,1136,14,850,23,841,0,0,104,599,138
8,1683,2601,2000,882,31,1087,31,882,31,882,0,0,149,606,127
8,1684,2805,2000,924,25,1051,25,923,35,913,0,0,145,650,118
8,1685,1509,1100,448,23,629,23,447,14,456,0,0,72,311,73
8,1686,2174,2000,1119,16,865,16,1119,55,1080,0,0,234,584,262
8,1687,1929,1500,652,16,832,16,652,25,643,0,0,88,452,103
8,1688,1746,1500,630,25,845,25,630,25,630,0,0,103,440,87
8,1689,2346,2000,777,29,1194,29,776,24,781,0,0,108,572,101
8,1690,2166,1600,688,23,889,23,688,17,694,0,0,122,484,88
8,1691,1749,1700,609,17,1074,17,606,13,610,0,0,79,450,81
8,1692,494,500,398,53,49,53,398,53,398,0,0,38,323,37
8,1693,2537,2000,937,15,1048,15,936,19,932,0,0,130,641,161
8,1694,2267,1600,721,21,858,21,719,33,707,0,0,108,492,107
8,1695,2492,2000,776,31,1193,31,776,31,776,0,0,123,533,120
8,1696,2355,2000,831,27,1142,27,828,32,823,0,0,151,539,133
8,1697,2022,1500,581,16,903,16,581,22,575,0,0,96,381,98
8,1698,2214,1600,695,21,884,21,695,30,686,0,0,124,446,116
8,1699,3264,2300,1772,8,520,8,1770,47,1731,0,0,259,1087,385
8,1700,2696,2000,928,15,1057,15,927,29,913,0,0,138,636,139
8,1701,1398,1000,256,17,727,17,256,16,257,0,0,51,157,49
8,1702,390,400,353,37,10,37,353,27,363,0,0,25,296,42
8,1703,2979,2000,1034,11,955,11,1031,32,1010,0,0,191,594,225
8,1706,2562,2000,857,19,1124,19,853,30,842,0,0,108,616,118
8,1708,2827,2000,888,26,1086,26,888,31,883,0,0,105,639,139
8,1709,1798,1500,524,14,962,14,524,27,511,0,0,66,374,71
8,1710,1295,1000,416,9,575,9,415,15,409,0,0,37,325,47
8,1711,2282,2000,724,17,1259,17,724,19,722,0,0,73,547,102
8,1712,1640,1500,583,9,908,9,583,12,580,0,0,61,432,87
8,1713,2081,1500,658,21,821,21,657,15,663,0,0,71,503,89
8,1714,1666,1500,632,16,852,16,632,28,620,0,0,70,461,89
8,1715,1706,1500,619,13,868,13,619,20,612,0,0,58,454,100
8,1716,1526,1100,417,23,660,23,417,13,427,0,0,49,321,57
8,1717,1279,1000,425,16,559,16,425,17,424,0,0,68,301,55
8,1718,2257,1600,782,17,801,17,781,25,773,0,0,66,593,114
8,1719,1442,1000,505,5,490,5,505,18,492,0,0,51,363,78
8,1721,1819,1500,530,12,958,12,530,11,531,0,0,54,416,61
8,1722,2207,1600,724,3,873,3,724,30,697,0,0,62,549,86
9,1793,1930,1600,804,18,778,18,804,23,799,0,0,124,578,97
9,1794,2343,2000,1050,13,937,13,1033,18,1028,0,0,127,793,108
9,1795,1826,1500,814,11,675,11,814,25,800,0,0,44,722,34
9,1796,1462,1200,586,13,601,13,580,19,574,0,0,66,438,70
9,1797,1754,1500,613,4,883,4,612,24,592,0,0,100,401,91
9,1798,2043,2000,1023,11,966,11,1011,29,993,0,0,153,746,94
9,1799,1827,1500,844,71,585,71,830,8,893,0,0,89,730,74
9,1800,1993,2000,1027,9,964,9,1027,22,1014,0,0,132,814,68
9,1801,2149,2000,1024,17,959,17,1024,24,1017,0,0,158,757,102
9,1802,2485,2000,1196,58,746,58,1174,4,1228,0,0,147,994,87
9,1803,2585,2000,694,12,1294,12,694,31,675,0,0,115,408,152
9,1804,2235,2000,1019,84,897,84,1019,24,1079,0,0,102,901,76
9,1805,2619,2000,1098,13,889,13,1018,30,1001,0,0,142,718,141
9,1806,1876,1500,760,109,631,109,760,17,852,0,0,113,630,109
9,1807,2814,2500,1158,19,1323,19,1158,18,1159,0,0,181,837,141
9,1808,2416,2000,1057,17,926,17,1055,20,1052,0,0,141,791,120
9,1809,1584,1500,493,5,1002,5,493,13,485,0,0,107,301,77
9,1810,2849,2500,2033,20,447,9,2020,18,2011,0,0,243,1553,215
9,1812,2562,2000,645,7,1348,7,645,14,638,0,0,133,391,114
9,1813,2675,2000,646,11,1343,11,646,13,644,0,0,114,383,147
9,1814,1882,1500,456,24,1020,24,456,16,464,0,0,74,296,94
9,1815,1756,1500,436,6,1058,6,436,11,431,0,0,61,329,41
9,1816,1841,1500,447,23,1030,23,447,15,455,0,0,100,282,73
9,1817,2045,1800,490,6,1304,6,489,6,489,0,0,108,281,100
9,1818,1478,1200,442,4,754,4,441,15,430,0,0,69,267,94
9,1819,2193,2000,576,8,1416,8,576,14,570,0,0,101,359,110
9,1820,1305,1500,394,6,1100,6,394,12,388,0,0,104,220,64
9,1821,2237,2000,609,19,1372,19,609,13,615,0,0,133,365,117
9,1822,1908,1500,589,2,909,2,587,8,581,0,0,109,373,99
9,1823,2066,2000,625,7,1368,7,625,19,613,0,0,113,391,109
9,1824,2214,2000,552,5,1443,5,550,7,548,0,0,134,297,117
9,1825,2116,1500,506,6,988,6,506,20,492,0,0,75,319,98
9,1826,1816,1500,406,2,1092,2,406,13,395,0,0,81,222,92
9,1827,2272,2000,641,3,1356,3,639,20,622,0,0,115,382,125
9,1828,2261,2000,683,23,1297,23,680,15,688,0,3,118,446,124
9,1829,1424,1100,354,1,745,1,353,10,344,0,0,83,185,76
9,1830,1178,1000,286,19,695,19,286,7,298,0,0,42,208,48
9,1831,1993,1500,526,13,961,13,523,15,521,0,0,100,338,83
9,1832,2270,2000,531,39,1430,39,529,8,560,0,0,104,350,106
9,1833,1588,1500,376,9,1115,9,375,5,379,0,0,71,258,50
9,1834,1713,1500,432,4,1064,4,431,7,428,0,0,102,245,81
9,1835,2443,2000,643,12,1345,12,643,11,644,0,0,86,445,113
9,1836,2361,2000,842,24,1134,24,768,12,780,0,0,42,699,39
9,1837,2262,2000,570,4,1424,4,570,12,562,2,0,62,427,73
9,1838,2588,2000,628,7,1365,7,627,11,623,0,0,137,377,109
9,1839,2505,2000,634,3,1363,3,633,21,615,0,0,100,421,94
9,1840,2296,2000,583,5,1404,5,583,16,572,8,0,117,343,112
9,1841,2084,1500,496,6,998,6,496,10,492,0,0,112,286,94
9,1842,1569,1500,399,4,1097,4,398,10,392,0,0,74,235,83
9,1843,2321,2000,551,4,1445,4,550,13,541,0,0,153,264,124
9,1844,2539,2000,609,2,1389,2,609,12,599,0,0,90,423,86
10,199,2097,2000,496,8,1496,8,496,19,485,0,0,81,295,109
10,200,2366,2000,583,5,1412,5,583,20,568,0,0,75,368,125
10,201,1659,1500,373,12,1115,12,373,12,373,0,0,46,244,83
10,202,1666,1500,406,4,1090,4,406,11,399,0,0,63,282,54
10,203,859,800,143,1,656,1,143,7,137,0,0,37,71,29
10,204,1792,1500,440,10,1050,10,440,8,442,0,0,69,296,77
10,205,2000,2000,525,75,1400,75,523,20,578,0,0,99,382,97
10,206,2017,2000,529,104,1367,104,529,14,619,0,0,88,424,107
10,207,1263,1000,397,9,594,9,396,8,397,0,0,79,248,70
10,208,2528,2000,645,7,1348,7,645,15,637,0,0,137,368,132
10,209,2081,2000,527,12,1461,12,526,10,528,0,0,97,333,98
10,210,2366,2000,705,51,1244,51,705,25,731,0,0,127,481,123
10,211,2814,2000,664,5,1331,5,664,11,658,0,0,130,404,124
10,212,2282,2000,615,59,1326,57,614,17,654,0,0,105,423,126
10,213,2230,2000,616,96,1288,96,604,14,686,0,0,121,463,102
10,214,2420,2000,671,95,1234,95,671,10,756,0,0,112,514,130
10,215,2395,2000,649,19,1332,19,649,23,645,0,0,128,389,128
10,216,1957,1500,548,52,900,52,548,20,580,0,0,93,404,83
10,217,2223,2000,607,16,1377,16,607,11,612,0,0,84,393,135
10,218,2204,2000,534,10,1456,10,532,21,521,0,0,81,338,102
10,219,2139,2000,524,13,1463,13,522,23,512,0,0,115,316,81
10,220,2119,2000,621,18,1361,18,620,8,630,0,0,105,390,135
10,221,1663,1500,425,14,1061,14,425,10,429,0,0,45,328,56
10,222,2194,2000,651,18,1331,18,651,38,631,0,0,116,419,96
10,223,1723,1500,701,7,792,7,701,9,699,0,0,67,563,69
10,224,1507,1500,434,17,1049,17,434,12,439,0,0,83,298,58
10,225,2019,1500,658,13,829,13,658,14,657,0,0,107,451,99
10,226,2117,2000,563,6,1431,6,563,16,553,0,0,84,366,103
10,227,2321,2000,568,22,1410,22,564,14,572,0,0,80,387,105
10,228,2139,2000,572,8,1420,8,572,6,574,0,0,102,387,85
10,229,2219,2000,1591,14,395,14,1591,15,1590,0,0,64,1442,84
10,230,1730,1500,487,10,1003,10,487,18,479,0,0,60,332,87
10,231,1664,1500,527,9,964,9,527,11,525,0,0,111,331,83
10,232,2369,2000,1214,18,768,18,1214,0,1232,0,0,72,1121,39
10,233,1993,1500,604,13,883,13,604,14,603,0,0,98,405,100
10,234,1962,1500,809,15,676,15,809,13,811,0,0,90,593,128
10,235,2217,1500,715,16,769,16,715,23,708,0,0,101,490,117
10,236,1972,1500,789,17,694,17,789,22,784,0,0,65,628,91
10,237,1904,1500,544,17,939,17,544,26,535,0,0,85,367,83
10,238,1658,1500,484,47,969,47,484,8,523,0,0,75,362,86
10,239,2747,2000,654,11,1335,11,651,13,649,0,0,89,434,126
10,240,1745,1500,378,17,1105,17,373,10,380,0,0,35,316,29
10,241,1877,1500,504,11,985,11,504,17,498,0,0,107,292,99
10,242,1775,1500,540,32,928,32,539,20,551,0,0,92,374,85
10,243,2200,2000,594,13,1393,13,594,16,591,0,0,102,391,98
10,244,2099,2000,587,13,1400,13,586,9,590,0,0,102,393,95
11,414,1922,1500,492,6,1002,6,491,12,485,0,0,158,231,96
11,415,1816,1500,472,8,1020,8,450,7,451,0,0,112,283,56
11,416,2951,2500,742,9,1749,9,742,27,724,0,0,191,382,151
11,417,2720,2000,765,16,1219,16,765,16,765,0,0,182,464,119
11,418,1936,1500,541,10,949,10,540,7,543,0,0,144,321,78
11,419,1997,1500,420,13,1067,13,420,14,419,0,0,111,205,103
11,420,2234,2000,599,13,1388,13,599,19,593,0,0,150,349,94
11,421,2726,2000,638,7,1355,7,638,10,635,0,0,181,282,172
11,422,2332,2000,594,1,1405,1,593,17,577,0,0,150,309,118
11,423,1945,1500,488,7,1005,7,488,19,476,0,0,132,264,80
11,424,2245,2000,574,13,1413,13,570,8,575,0,0,144,364,67
11,425,2079,1500,604,6,890,6,596,22,580,0,0,181,320,79
11,426,2289,2000,653,11,1336,11,653,13,651,0,0,166,376,109
11,427,2168,2000,602,11,1387,11,602,17,596,0,0,150,361,85
11,428,1960,1500,537,59,904,59,537,24,572,0,0,133,350,89
11,429,1852,1500,494,11,995,11,494,12,493,0,0,129,273,91
11,430,2178,2000,652,15,1333,15,643,20,638,0,0,170,338,130
11,431,1877,1500,439,6,1055,6,439,13,432,0,0,114,256,62
11,432,1918,1500,531,13,956,13,529,23,519,0,0,132,310,77
11,433,2036,1500,466,15,1019,15,465,18,462,0,0,141,237,84
11,434,2065,2000,575,15,1410,15,572,6,581,0,0,153,322,106
11,435,1901,1500,498,16,986,16,498,16,498,0,0,95,299,104
11,436,2120,1500,620,15,865,15,602,25,592,0,0,189,309,94
11,437,1814,1500,484,27,989,27,483,14,496,0,0,129,286,81
11,438,2206,2000,563,15,1422,15,555,13,557,0,0,134,343,80
11,439,2213,2000,660,4,1336,4,653,10,647,0,0,147,416,84
11,440,2866,2500,722,9,1769,9,713,28,694,0,0,179,380,135
11,441,2530,2000,615,12,1373,12,613,18,607,0,0,173,344,90
11,442,2151,2000,574,11,1415,11,574,9,576,0,0,111,374,91
11,443,2155,2000,548,7,1445,7,548,20,535,0,0,121,320,94
11,444,1752,1500,508,4,988,4,508,27,485,0,0,93,305,87
11,445,2174,2000,586,9,1405,9,586,12,583,0,0,116,348,119
11,446,1786,1500,465,6,1029,6,451,17,440,0,0,103,265,72
11,447,2244,2000,609,18,1373,18,609,10,617,0,0,74,454,89
11,448,2462,2000,555,9,1436,9,554,16,547,0,0,94,353,100
11,449,2444,2000,610,13,1377,13,607,16,604,0,0,107,376,121
11,450,2211,2000,571,12,1417,12,570,14,568,0,0,88,380,100
11,451,2009,1500,457,5,1038,5,457,9,453,0,0,74,297,82
11,452,2535,2000,576,9,1415,9,574,16,567,0,0,86,363,118
11,453,3010,2500,688,7,1805,7,688,17,678,0,0,142,378,158
11,454,1744,1500,414,17,1069,17,411,9,419,0,0,79,283,57
11,455,2129,2000,523,8,1469,8,523,16,515,0,0,93,325,97
11,456,2372,2000,605,11,1384,11,601,16,596,0,0,144,352,100
11,457,2220,2000,510,8,1482,8,510,9,509,0,0,122,302,85
11,458,2414,2500,574,12,1914,12,574,15,571,0,0,131,339,101
11,459,2421,2000,601,6,1393,4,598,13,589,0,0,99,350,140
11,460,2154,2000,514,13,1473,13,501,18,496,0,0,84,319,93
11,461,2306,2000,619,14,1367,14,619,16,617,0,0,111,400,106
11,462,1748,1500,399,12,1089,12,397,9,400,0,0,115,225,60
11,463,2057,1500,515,13,972,13,515,14,514,0,0,93,312,109
11,464,2119,2000,492,7,1501,7,492,4,495,0,0,77,325,93
11,465,1878,1500,461,7,1032,7,459,9,457,0,0,104,273,80
11,466,2294,2000,521,13,1466,13,521,18,516,0,0,95,329,92
11,467,1864,1500,417,7,1076,7,417,5,419,0,0,88,257,74
11,468,1899,1500,502,5,993,5,502,24,483,0,0,96,329,58
11,469,2458,2000,529,6,1465,6,529,3,532,0,0,52,407,73
11,470,2213,1500,526,6,968,6,495,21,480,0,0,78,301,101
11,471,2140,1500,486,7,1007,7,473,13,467,0,0,86,267,114
11,472,2586,2000,578,10,1412,10,578,10,578,0,0,123,362,93
11,473,2104,1500,455,9,1036,9,455,16,448,0,0,64,307,77
11,474,2422,2000,514,16,1470,16,514,10,520,0,0,76,344,100
11,475,2347,2000,515,10,1475,10,495,13,492,0,0,69,334,89
11,476,1438,1000,364,6,630,6,360,12,354,0,0,69,207,78
11,477,2880,2000,680,7,1313,7,680,17,670,0,0,124,460,86
11,478,2403,2000,573,10,1417,10,571,25,556,0,0,122,358,76
11,479,2410,2000,628,6,1366,6,622,19,609,0,0,109,451,49
11,480,2566,2000,590,9,1401,9,589,13,585,0,0,94,377,114
11,481,2589,2000,637,8,1355,8,620,20,608,0,0,80,432,96
11,482,2433,2000,552,8,1440,8,552,15,545,0,0,116,337,92
11,483,1771,1500,423,3,1074,3,423,5,421,0,0,80,257,84
11,484,2272,2000,585,10,1405,10,585,24,571,0,0,124,330,117
11,485,2709,2000,661,10,1329,10,661,21,650,0,0,110,407,133
11,486,2520,2000,583,0,1417,0,583,11,572,0,0,102,375,95
11,487,1973,1500,551,9,940,9,551,5,555,0,0,76,402,77
11,488,1799,1500,455,8,1037,8,455,15,448,0,0,79,281,88
11,489,1901,1500,519,25,956,25,519,16,528,0,0,87,348,93
11,490,1946,1500,571,6,923,6,571,15,562,0,0,72,392,98
11,491,1832,1500,450,14,1036,14,450,10,454,0,0,72,307,75
11,492,2197,2000,489,2,1509,2,489,8,483,0,0,73,336,74
11,493,2224,2000,559,6,1435,6,559,14,551,0,0,119,333,99
11,494,1982,1500,480,6,1014,6,480,19,467,0,0,81,299,87
11,495,2497,2000,588,7,1405,7,588,6,589,0,0,66,478,45
11,496,1819,1500,464,5,1031,5,462,23,444,0,0,94,266,84
11,497,1942,1500,481,6,1013,6,481,16,471,0,0,103,285,83
11,498,2283,2000,521,2,1477,2,521,29,494,0,0,105,298,91
11,499,2542,2000,549,25,1426,25,538,32,531,0,0,96,338,97
11,500,2569,2000,466,7,1527,7,466,7,466,0,0,90,274,102
11,501,1676,1500,508,12,980,12,507,13,506,0,0,100,333,73
11,502,2846,2500,728,26,1746,26,719,9,736,0,0,149,453,134
11,503,3035,2500,736,21,1743,21,687,24,684,0,0,206,347,131
11,504,2480,2000,613,6,1381,6,612,14,604,0,0,89,453,62
11,505,2595,2000,738,25,1237,25,738,16,747,0,0,111,532,104
11,506,2790,2000,702,9,1289,9,692,19,682,0,0,150,392,140
11,507,117,135,67,47,21,47,67,4,110,0,0,22,72,16
11,508,418,450,278,85,87,85,278,9,354,0,0,22,291,41
11,509,3402,4000,2918,0,1082,0,2918,77,2841,0,0,249,2045,547
